LaboratoryName,PrimeAddress,City,State,Country,,,,,,,,,,,,,,,,,,
"1600 KV ULTRA HIGH VOLTAGE RESEARCH CENTRE & EHV LABORATORIES, CG POWER & INDUSTRIAL SOLUTIONS LTD., SWITCHGEAR DIVISION","A-3, MIDC, AMBAD,",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
AA ELECTRO MAGNETIC TEST LABORATORY PRIVATE LIMITED,"PLOT NO 174, UDYOG VIHAR, PHASE 4, SECTOR 18",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
AADCO TESTING & RESEARCH LABORATORY PVT. LTD.,"F-28, BULANDSHAHAR ROAD, INDUSTRIAL AREA",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
AADHAR TESTING SOLUTIONS LLP,"FIRST FLOOR, PLOT NO. 2, GYANI COMPOUND, SAHIBABAD",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
AADHNI MEASUREMATIC INDIA ELECTRICAL LAB LLP,"No. 9, 14TH CROSS STREET, MAHARAJA NAGAR, PALAYAMKOTTAI",Tirunelveli,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
AADIDEV TEST & RESEARCH CENTRE LLP,"N-92, SECTOR-1, DSIDC INDUSTRIAL AREA, BAWANA",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
AANCHAL TECHNO SOLUTIONS,"# 18 & 19, 1ST CROSS , 2ND LEFT, BEGUR ROAD, BOMMANAHALLI",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
AANCHAL TECHNO SOLUTIONS,"SITE NO.116, LAKSHMI NAGAR, SIDCO WEST SIDE",Coimbatore,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"AB SQUARE, BAJAJ ELECTRICALS LIMITED","PLOT NO. 27/PT-2, MILLENIUM BUSINESS PARK",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
ABB GLOBAL INDUSTRIES AND SERVICES PRIVATE LIMITED - LOW VOLTAGE BREAKERS AND SWITCHES TESTING LABORATORY,"WESTERN AQUA, GROUND FLOOR & 10TH FLOOR, PLOT NOS.1,2,3 AND 4 / PART, HI-TECH CITY, WHITE FIELD",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
ABB INDIA LIMITED (TECHNOLOGY CENTRE LABORATORY),"PLOT NO. B-81, BUILDING B, AMBAD",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
ABB INDIA LIMITED- ELSP-TESTING LABORATORY,"88/3; 88/6 BASAVA NAHALLI VILLAGE, NELAMANGALA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ABB LOW VOLTAGE ROTATING MACHINE LAB., ABB INDIA LTD.","32 INDUSTRIAL AREA, NIT",Faridabad,Haryana,India,,,,,,,,,,,,,,,,,,
ABERDARE TECHNOLOGIES PRIVATE LIMITED,"PLOT NO. I-09 (PART II), INDUSTRIAL PARK (DOMESTIC), KHED CITY, KANHERSAR VILLAGE",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
ABSOLUTE EXPERTISE TESTING LABORATORY LLP,"PLOT NO.1, KH NO. 23 / 1, 1ST FLOOR, AMBEY GARDEN, VILLAGE LIBASPUR",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ABSOLUTE TESTING SERVICES,"FCA-3659, SGM NAGAR NIT-3",Faridabad,Haryana,India,,,,,,,,,,,,,,,,,,
"AC TESTING LAB, COTERD SOLUTIONS (OPC) PRIVATE LIMITED","BLOCK ECOTECH VI, PLOT NO -62, SECTOR ECOTECH VI",Greater Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ACCELOR MICROSYSTEMS ENVIRONMENT TEST LABORATORY,"PLOT NO. F-451, SECTOR-74, PHASE 8B, INDUSTRIAL FOCAL POINT, S.A.S NAGAR",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
ACCURATE TEST SOLUTIONS LLP,"F 21, SECTOR-11",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ACCUTEST SYSTEMS PRIVATE LIMITED,"987/14, GIDC, INDUSTRIAL ESTATE",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
ACE TEST HOUSE PRIVATE LIMITED,"KHASRA No. 1089, FIRST FLOOR, VILLAGE BHALSWA",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ACE TEST LAB PRIVATE LIMITED,"INDUSTRIAL PLOT NO.-69, KH.NO.-54, G.T. KARNAL ROAD, NANGLI POONA",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ACE TEST LABS & METROLOGY PRIVATE LIMITED,"PLOT NO. 68, HSIIDC INDUSTRIAL ESTATE, RAI",Sonipat,Haryana,India,,,,,,,,,,,,,,,,,,
ACOUSTIC TEST FACILITY OF NATIONAL INSTITUTE OF OCEAN TECHNOLOGY,PALLIKARANAI,Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
ADITYA BIRLA INSULATORS ( A UNIT OF GRASIM INDUSTRIES LIMITED),"P.O. PRABHAS NAGAR, RISHRA",Hooghly,West Bengal,India,,,,,,,,,,,,,,,,,,
ADS LABTECH,"39/2/10A, SAHIBABAD INDUSTRIAL AREA",Sahibabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ADSUN LIGHTING PRIVATE LIMITED,"PLOT NO. 366, PHASE-V, SECTOR-56",Kundli,Haryana,India,,,,,,,,,,,,,,,,,,
ADTL SR&DC TEST LAB,"09,SERVICE ROAD,HAL 2ND STAGE,INDIRA NAGAR",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ADVANCE ELECTRICAL TESTING AND CALIBRATION LAB LLP,"SHED NO. 13/1/A, MAKARPURA GIDC",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
ADVANCE FIRETEC AND RESEARCH LAB PRIVATE LIMITED,"B-3, MANGOLPURI INDUSTRIAL AREA, PHASE-II",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ADYA SMART METERING Q.A. LAB,"PLOT NO.-61, 2ND FLOOR, 8-2-248/1/7/61, NAGARJUNA HILLS ROAD, PUNJAGUTTA,",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
AFORESERVE LABS PVT LTD,"PLOT NO. 138, SECTOR 7, IMT MANESAR",Gurugram,Haryana,India,,,,,,,,,,,,,,,,,,
AIC-AMTZ MEDI VALLEY INCUBATION COUNCIL (MEDI VALLEY LABORATORY),"AMTZ CAMPUS, PRAGATI MAIDAN, VM STEEL PROJECTS S.O",Visakhapatnam,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,
"AIRCON LAB,WHIRLPOOL OF INDIA LTD","PLOT NO.- 28,NIT INDUSTRIAL AREA",Faridabad,Haryana,India,,,,,,,,,,,,,,,,,,
"AJUS ELECTRIC PRIVATE LIMITED, TESTING LABORATORY","PLOT NO. 13, SECTOR- 8A, IIE, SIDCUL",Haridwar,Uttarakhand,India,,,,,,,,,,,,,,,,,,
"AKRON ENERGY PRIVATE LIMITED, TESTING DIVISION","5TH FLOOR, A-504, PRIVILION, AMBLI-BOPAL ROAD, S.G.HIGHWAY",Ahmedabad,Gujarat,India,,,,,,,,,,,,,,,,,,
AKSH TEST & RESEARCH CENTER,"F 1075-1081, RIICO INDUSTRIAL AREA",Bhiwadi,Rajasthan,India,,,,,,,,,,,,,,,,,,
AKSHAT TEST LAB & CALIBRATION SERVICES,"A-2/49,G.D. STEEL COMPOUND, SITE-4, INDUSTRIAL AREA, SAHIBABAD",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ALAIPURIA TEST HOUSE PRIVATE LIMITED,"PLOT NO. H-11, BLOCK-H, DURGA INDUSTRIAL PARK",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ALCALAB PRIVATE LIMITED,"3RD FLOOR, 311-316, ASHIANA TRADE CENTRE, ADITYAPUR",Jamshedpur,Jharkhand,India,,,,,,,,,,,,,,,,,,
ALPHA TEST HOUSE PRIVATE LIMITED,"487/25, PEERAGARHI",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ALPHION Q.A. LAB,"C-203, SECTOR 63",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"AMARA RAJA ENERGY & MOBILITY LIMITED,TESTING AND CALIBRATION LABORATORY","KARAKAMBADI, RENIGUNTA KADAPA ROAD",Tirupati,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,
AMIT TEST AND CALIBRATION CENTRE (DIVISION OF AMIT ELECTRICAL LAB LLP),"KH. NO. 45/7, VILLAGE PRAHALADPUR BANGAR, ROHINI SECTOR 30",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
"ANALYTICAL TECHNOLOGY LAB, SABIC RESEARCH AND TECHNOLOGY PVT. LTD.","PLOT NO. 81 TO 85, CHIKKADUNNASANDRA VILLAGE ANEKAL TALUK, OFF SARJAPURA, ATTIBELE STATE HIGHWAY",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ANANYA TECHNOLOGIES PRIVATE LIMITED,"NO. 7B, GROUND FLOOR, TRANS INDUSTRIAL HUB, 5TH MAIN ROAD, 3RD PHASE, PEENYA INDUSTRIAL AREA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ANUVEGA TECHNOLOGIES (ENVIRONMENTAL TESTING LABORATORY) PRIVATE LIMITED,"S-2/7, S-2/8, E-CITY, FAB CITY RD, RAVIRYAL VILLAGE, MAHESHWARAM MANDAL",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
APAR INDUSTRIES LIMITED,"18, TTC, MIDC INDUSTRIAL AREA, RABALE",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
APAR INDUSTRIES LIMITED (ELASTO DIVISION LABORATORY),"CITY SURVEY NO. NA 1990, REVENUE SURVEY NO. 730 AND 730 P1, VILLAGE MANEKPUR, KHATALWADA -MANEKPUR ROAD, TALUKA- UMBERGAON, KHATALWADA, SANJAN",Vapi,Gujarat,India,,,,,,,,,,,,,,,,,,
APAR INDUSTRIES LIMITED (POWER OIL PETROLEUM PRODUCT DIVISION),"SURVEY NO. 148/1 & 148/3/1, KUDACHA VILLAGE",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
APAR INDUSTRIES LIMITED (UNIT: UNIFLEX CABLES LAB DIVISION),PLOT NO : 158-163,Umbergaon,Gujarat,India,,,,,,,,,,,,,,,,,,
"APAR INDUSTRIES LIMITED, CONDUCTOR TESTING LABORATORY (CTL), UNIT- V","SURVEY NO. 409 OLD SURVEY NO. 139/2, ATHOLA -UMERKOI ROAD, ATHOLA",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
"APAR INDUSTRIES LIMITED, CONDUCTOR TESTING LABORATORY(CTL), CONDUCTOR DIVISION, UNIT- VI","SURVEY NO. 1/2, VILLAGE KHUTLI, KHANVEL",Silvassa,Dadra and Nagar Haveli and Daman and Diu,India,,,,,,,,,,,,,,,,,,
"APAR INDUSTRIES LIMITED,
CONDUCTOR TESTING LABORATORY (CTL),UNIT-III","SURVEY NO.127/1/2, VILLAGE ATHOLA, UMARKOI ROAD",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
APAR INDUSTRIES LTD (OPTICAL FIBER CABLE LAB),"SURVEY NO. 6074, 2228, 1991, 6341/P1, 2219, 2221, KHATALWADA-MANEKPUR ROAD",Valsad,Gujarat,India,,,,,,,,,,,,,,,,,,
"APAR INDUSTRIES LTD, CONDUCTOR DIVISION","SURVEY NO. 144/1, PLOT NO. 6/1, VILLAGE RAKHOLI",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
APEX TELECOM TESTING SERVICES (OPC) PRIVATE LIMITED,"362, TEACHERS TOWN, NARAYANAGHATTA TOWN",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"APPLETON LAB, EMERSON INNOVATION CENTER-PUNE, (A DIVISION OF EMERSON ELECTRIC CO. INDIA PVT. LIMITED)","PLOT NO. 23, RAJIV GANDHI INFOTECH PARK, M.I.D.C., PHASE II, HINJAWADI, VILLAGE MAAN, TALUKA MULSHI",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
APTIV CONNECTION SYSTEMS INDIA PRIVATE LIMITED ENGINEERING LAB,"7/60-A & 60-B, ARAKKUNNAM PULIKKAMALI ROAD",Ernakulam,Kerala,India,,,,,,,,,,,,,,,,,,
"APTIV CONNECTION SYSTEMS INDIA PRIVATE LTD,CHENNAI EGNINEERING CENTER","BLOCK-3,  DLF IT PARK (IT/ITES/SEZ)",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
ARACION TECHNOLOGY PRIVATE LIMITED,"1ST FLOOR, B-23 HK ARCADE, KSSIDC, INDUSTRIAL AREA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ARDISONS ASSOCIATES LAB,A 21 INDUSTRIAL FOCAL POINT,Kurali,Punjab,India,,,,,,,,,,,,,,,,,,
ARUDHYA TEST SOLUTIONS PRIVATE LIMITED,"PLOT NO 28/2, PHASE-2, IDA, CHERLAPALLY",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
ARYAVRAT TEST HOUSE PRIVATE LIMITED,"L.R. DAG NO. 257 AND 259, MOUZA ARGOURI, NH 6, BOMBAY ROAD, JANGALPUR, NATIBPUR",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
"ASHTAVINAYAKA ENERGY-INFRA PRIVATE LIMITED, METER TESTING LABORATORY","PLOT NO. R-478, TTC INDUSTRIAL AREA, MIDC RABALE",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"ASTRA MICROWAVE PRODUCTS LIMITED, ETF TEST SERVICES(UNIT-3)","SY.NO.1/1, UDL, HARDWARE PARK, IMARATH KANCHA, RAVIRYALA, MAHESHWARAM",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
ASTUTE LABS PVT. LTD.,"SR. NO. 82/1, BAJIRAO DHAWADE PATIL INDUSTRIAL ESTATE, NDA ROAD, SHIVANE",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
ATHARVA LABORATORIES PRIVATE LIMITED,"C-54, HOSIERY COMPLEX, PHASE-II EXTENSION",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ATHARVA LABORATORIES PVT. LTD.,"D-115 A, HOSIERY COMPLEX",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ATLANTA ELECTRICALS LIMITED (TRANSFORMER TEST LABORATORY),"1503-04 & 1701-2, G.I.D.C. ESTATE, PHASE-IV, VITHTHAL UDYOG NAGAR",Anand,Gujarat,India,,,,,,,,,,,,,,,,,,
ATMY ANALYTICAL LABS PVT LTD,"I-30, DLF INDUSTRIAL AREA, PHASE-1",Faridabad,Haryana,India,,,,,,,,,,,,,,,,,,
AUTO CLUSTER DEVELOPMENT AND RESEARCH INSTITUTE,"PLOT NO. C-181, H-BLOCK, M.I.D.C",Chinchwad,Maharashtra,India,,,,,,,,,,,,,,,,,,
AVARTANAM TEST LABS LLP,"PLOT NO. 32, ZONE - D-4, PHASE - I, G.I.D.C. ESTATE, VITHAL UDYOGNAGAR",Anand,Gujarat,India,,,,,,,,,,,,,,,,,,
AXIOM - AXIS ELECTRICAL COMPONENTS INDIA PRIVATE LIMITED,"149-BCD, KANDIVALI, GOVT. INDUSTRIAL ESTATE",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
AZISTA BST AEROSPACE PRIVATE LIMITED,"PLOT NO. 16, SANAND LAND INDUSTRIAL ESTATE CORPORATION",Ahmedabad,Gujarat,India,,,,,,,,,,,,,,,,,,
AZURE SWITCHGEAR PRIVATE LIMITED (QUALITY ASSURANCE LAB),"PLOT NO. 9, SECTOR-4, UNIT-2, IIE SIDCUL",Haridwar,Uttarakhand,India,,,,,,,,,,,,,,,,,,
